sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
416, 1197456, 0.5452, 0.0638, 94.4926, 51.5182, 0.4711, 0.6291, 0.2029, 0.0420, 0.1960, -0.1778, 0.1648, 0.1025, 1.0055, 1.6320, 0.0437, 0.0464, 0.0465, 0.0461, 0.0615, 0.2256, 0.0994, 0.0994, 0.1286, 0.0576
417, 299280, 1.1240, 0.0603, 31.1034, 34.9612, 0.4750, 0.6454, 0.2043, 0.0511, 0.5604, 1.2299, 0.1713, 0.1401, 1.2162, 2.4683, 0.1037, 0.1115, 0.1114, 0.1108, 0.0994, 0.3132, 0.1697, 0.1697, 0.2197, 0.1452
418, 744732, 1.1022, 0.0596, 48.9967, 54.0036, 0.4795, 0.6362, 0.1995, 0.0469, 0.4632, 0.2683, 0.1700, 0.1203, 0.9804, 1.4952, 0.0684, 0.0724, 0.0707, 0.0722, 0.0849, 0.2691, 0.1235, 0.1235, 0.1641, 0.0858
419, 760800, 0.4732, 0.0616, 78.1117, 36.9614, 0.4652, 0.6443, 0.2025, 0.0417, 0.2194, -0.2005, 0.1700, 0.1082, 0.9758, 1.5231, 0.0457, 0.0448, 0.0448, 0.0444, 0.0614, 0.2342, 0.1045, 0.1045, 0.1309, 0.0610
420, 78090, 0.1664, 0.0598, 40.9649, 6.8175, 0.4791, 0.6551, 0.2009, 0.0474, 0.4686, 0.0067, 0.1557, 0.1054, 0.3202, -0.4839, 0.1059, 0.1071, 0.1063, 0.1071, 0.0836, 0.2715, 0.1712, 0.1712, 0.2087, 0.1384
421, 777552, 0.3228, 0.0658, 102.1577, 32.9774, 0.4691, 0.6213, 0.2055, 0.0442, 0.2855, -0.1801, 0.1603, 0.1016, 0.9666, 1.4141, 0.0387, 0.0418, 0.0421, 0.0417, 0.0463, 0.2153, 0.0947, 0.0947, 0.1145, 0.0529
422, 287339, 0.3111, 0.0660, 63.4615, 19.7451, 0.4558, 0.6169, 0.2020, 0.0413, 0.0733, -0.0182, 0.1624, 0.1070, 0.9609, 1.1869, 0.0611, 0.0621, 0.0625, 0.0621, 0.0558, 0.2538, 0.1286, 0.1286, 0.1520, 0.0935
423, 658320, 0.4107, 0.0639, 80.8981, 33.2283, 0.4818, 0.6171, 0.1988, 0.0440, 0.2883, -0.0190, 0.1567, 0.1082, 0.9857, 1.5664, 0.0470, 0.0488, 0.0491, 0.0487, 0.0566, 0.2336, 0.1016, 0.1016, 0.1390, 0.0668
424, 676480, 0.6055, 0.0639, 67.5516, 40.9016, 0.4677, 0.6215, 0.1992, 0.0445, 0.3642, 0.4652, 0.1679, 0.1113, 1.1225, 2.3546, 0.0639, 0.0672, 0.0680, 0.0668, 0.0745, 0.2456, 0.1240, 0.1240, 0.1605, 0.0894
425, 173229, 0.0737, 0.0637, 97.5929, 7.1937, 0.4758, 0.6572, 0.2204, 0.0471, 0.3184, -0.4176, 0.1661, 0.0983, 0.5872, 0.1372, 0.0299, 0.0271, 0.0269, 0.0271, 0.0230, 0.2288, 0.1113, 0.1113, 0.1385, 0.0609
426, 540540, 0.9458, 0.0637, 48.1706, 45.5582, 0.4756, 0.6303, 0.2078, 0.0501, 0.5593, 0.4582, 0.1609, 0.1103, 0.7877, 1.0370, 0.0796, 0.0861, 0.0861, 0.0860, 0.0951, 0.2737, 0.1533, 0.1533, 0.1877, 0.1047
427, 136242, 2.0000, 0.0605, 15.7989, 31.5977, 0.4961, 0.6560, 0.2343, 0.0939, 0.6135, 1.1127, 0.1773, 0.1856, 1.4678, 2.7005, 0.1753, 0.1809, 0.1773, 0.1798, 0.1581, 0.3996, 0.2425, 0.2425, 0.3006, 0.2048
428, 402456, 1.6626, 0.0594, 29.2384, 48.6118, 0.4827, 0.6380, 0.1836, 0.0472, 0.7793, 4.1681, 0.1700, 0.1394, 1.3275, 3.7796, 0.1011, 0.1046, 0.1044, 0.1056, 0.1112, 0.2953, 0.1590, 0.1590, 0.2006, 0.1267
429, 602995, 0.2856, 0.0597, 86.7108, 24.7660, 0.4766, 0.6341, 0.1940, 0.0415, 0.2658, -0.0709, 0.1650, 0.0994, 0.8627, 1.3878, 0.0372, 0.0383, 0.0383, 0.0383, 0.0412, 0.2186, 0.0928, 0.0928, 0.1215, 0.0577
430, 600096, 0.3465, 0.0623, 81.9342, 28.3906, 0.4794, 0.6170, 0.1975, 0.0433, 0.2695, -0.0116, 0.1620, 0.1086, 1.1172, 2.0524, 0.0421, 0.0441, 0.0449, 0.0441, 0.0518, 0.2253, 0.1077, 0.1077, 0.1245, 0.0651
431, 359500, 1.4380, 0.0605, 30.2434, 43.4900, 0.4638, 0.6382, 0.2108, 0.0546, 0.4134, 0.0257, 0.1594, 0.1227, 0.8303, 0.8286, 0.0978, 0.1097, 0.1040, 0.1073, 0.1031, 0.3288, 0.1479, 0.1479, 0.1997, 0.1210
432, 863297, 0.3144, 0.0623, 103.2361, 32.4599, 0.4655, 0.6383, 0.2038, 0.0435, 0.2943, -0.0762, 0.1658, 0.0997, 0.8988, 1.3012, 0.0343, 0.0357, 0.0353, 0.0357, 0.0484, 0.2107, 0.0872, 0.0872, 0.1148, 0.0509
